all_fail,all_success,format,groups,mixed,mixed_yield,raw_reward,response_max,response_p50,response_p95,step,trajectories,truncation
49,7,0.9982638888888888,96,40,0.4166666666666667,0.2708333333333333,10240.0,8685.0,10238.95,1,768,0.05078125
25,3,1.0,64,36,0.5625,0.283203125,10240.0,9113.0,10240.0,2,512,0.0703125
28,3,0.9998497596153846,64,33,0.515625,0.30078125,10240.0,8246.5,10240.0,3,512,0.06640625
28,2,0.9975903003246753,64,34,0.53125,0.267578125,10240.0,9137.0,10240.0,4,512,0.06640625
41,8,1.0,96,47,0.4895833333333333,0.2864583333333333,10240.0,8900.5,10240.0,5,768,0.06640625
25,3,1.0,64,36,0.5625,0.294921875,10240.0,8944.5,10240.0,6,512,0.0546875
47,9,0.9989583333333334,96,40,0.4166666666666667,0.26953125,10240.0,9061.0,10240.0,7,768,0.052083333333333336
50,6,0.9987630208333332,96,40,0.4166666666666667,0.2669270833333333,10240.0,7750.5,10240.0,8,768,0.052083333333333336
49,6,0.9959635416666667,96,41,0.4270833333333333,0.2734375,10240.0,8499.5,10240.0,9,768,0.061197916666666664
26,6,0.99658203125,64,32,0.5,0.32421875,10240.0,7328.0,10222.9,10,512,0.04296875
48,4,0.9990234375,96,44,0.4583333333333333,0.27734375,10240.0,7600.0,10231.65,11,768,0.049479166666666664
29,3,0.9984375,64,32,0.5,0.30078125,10240.0,8403.5,10240.0,12,512,0.072265625
50,5,0.9962890624999999,96,41,0.4270833333333333,0.2578125,10240.0,8773.0,10240.0,13,768,0.055989583333333336
28,4,1.0,64,32,0.5,0.29296875,10240.0,8566.5,10221.85,14,512,0.05078125
48,6,0.9971168154761904,96,42,0.4375,0.2981770833333333,10240.0,8477.0,10240.0,15,768,0.055989583333333336
27,3,0.9962820870535715,64,34,0.53125,0.314453125,10240.0,6847.0,10240.0,16,512,0.056640625
20,4,1.0,64,40,0.625,0.40625,10240.0,6943.5,10233.0,17,512,0.046875
42,5,0.9996279761904763,96,49,0.5104166666666666,0.2734375,10240.0,8369.5,10240.0,18,768,0.06640625
23,4,0.99921875,64,37,0.578125,0.357421875,10240.0,6617.5,10226.0,19,512,0.041015625
45,4,0.9966471354166666,96,47,0.4895833333333333,0.2604166666666667,10240.0,8884.5,10240.0,20,768,0.0703125
41,9,0.995876736111111,96,46,0.4791666666666667,0.32421875,10240.0,8517.5,10240.0,21,768,0.052083333333333336
28,4,0.9983723958333334,64,32,0.5,0.30078125,10240.0,8341.0,10240.0,22,512,0.052734375
48,2,0.999782986111111,96,46,0.4791666666666667,0.22916666666666666,10240.0,9160.0,10240.0,23,768,0.08333333333333333
