all_fail,all_success,format,groups,mixed,mixed_yield,raw_reward,response_max,response_p50,response_p95,step,trajectories,truncation
26,4,0.9953884548611112,96,66,0.6875,0.3229166666666667,10240.0,9104.0,10240.0,1,768,0.07161458333333333
26,5,0.9965640262515262,96,65,0.6770833333333334,0.3671875,10240.0,8675.5,10240.0,2,768,0.05859375
48,17,0.995923755787037,192,127,0.6614583333333334,0.4010416666666667,10240.0,8551.0,10240.0,3,1536,0.06901041666666667
23,3,0.9978732638888888,96,70,0.7291666666666666,0.3671875,10240.0,8607.0,10240.0,4,768,0.07291666666666667
16,7,1.0,96,73,0.7604166666666666,0.4440104166666667,10240.0,8383.0,10220.55,5,768,0.04296875
23,2,0.9994574652777777,96,71,0.7395833333333334,0.3216145833333333,10240.0,8918.5,10240.0,6,768,0.06640625
17,9,0.9961945064484127,96,70,0.7291666666666666,0.41796875,10240.0,7301.5,10240.0,7,768,0.057291666666666664
45,20,0.9986653645833333,192,127,0.6614583333333334,0.40234375,10240.0,7684.0,10240.0,8,1536,0.05859375
22,9,0.9959635416666667,96,65,0.6770833333333334,0.421875,10240.0,7605.5,10239.65,9,768,0.05078125
15,3,0.9945095486111111,96,78,0.8125,0.3802083333333333,10240.0,8250.0,10240.0,10,768,0.0546875
21,6,0.99765625,96,69,0.71875,0.36328125,10240.0,8224.0,10240.0,11,768,0.06770833333333333
42,18,0.9980902777777777,192,132,0.6875,0.4440104166666667,10240.0,6811.5,10240.0,12,1536,0.052083333333333336
