unix,iso_utc,gpu,util_gpu_pct,util_mem_pct,memory_used_mib,memory_total_mib,power_w,temperature_c,disk_free_gib,checkpoint_gib,rollout_gib,search_server_ok
1784014238.799749,2026-07-14T07:30:38.799749+00:00,0,0,0,2,81920,59.05,30,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,1,0,0,2,81920,58.87,31,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,2,0,0,2,81920,54.34,29,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,3,0,0,2,81920,57.92,30,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,4,0,0,2,81920,57.60,29,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,5,0,0,2,81920,60.47,30,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,6,0,0,2,81920,60.03,31,38.05171203613281,0.0,2.596527338027954e-06,1
1784014238.799749,2026-07-14T07:30:38.799749+00:00,7,0,0,2,81920,60.37,30,38.05171203613281,0.0,2.596527338027954e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,0,0,0,5,81920,59.05,30,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,1,0,0,5,81920,58.87,31,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,2,0,0,5,81920,54.61,29,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,3,0,0,5,81920,57.92,30,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,4,0,0,5,81920,57.60,29,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,5,0,0,5,81920,60.47,30,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,6,0,0,5,81920,60.09,31,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014243.9253151,2026-07-14T07:30:43.925315+00:00,7,0,0,5,81920,60.37,30,38.05168914794922,0.0,3.6442652344703674e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,0,0,0,5,81920,58.72,30,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,1,0,0,5,81920,58.87,31,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,2,0,0,5,81920,54.34,29,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,3,0,0,5,81920,57.92,29,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,4,0,0,5,81920,57.66,29,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,5,0,0,5,81920,60.40,30,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,6,0,0,5,81920,60.03,31,38.05149459838867,0.0,4.560686647891998e-06,1
1784014249.0378585,2026-07-14T07:30:49.037858+00:00,7,0,0,5,81920,60.37,30,38.05149459838867,0.0,4.560686647891998e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,0,0,0,5,81920,58.72,30,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,1,0,0,5,81920,58.87,31,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,2,0,0,5,81920,54.34,29,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,3,0,0,5,81920,58.19,29,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,4,0,0,5,81920,57.98,29,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,5,0,0,5,81920,60.40,30,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,6,0,0,5,81920,59.71,31,38.050960540771484,0.0,5.541369318962097e-06,1
1784014254.1281698,2026-07-14T07:30:54.128170+00:00,7,0,0,5,81920,60.37,30,38.050960540771484,0.0,5.541369318962097e-06,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,0,0,0,5,81920,59.05,30,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,1,0,0,5,81920,58.87,31,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,2,0,0,5,81920,54.34,29,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,3,0,0,5,81920,57.92,29,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,4,0,0,5,81920,57.60,29,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,5,0,0,5,81920,60.40,30,38.050907135009766,0.0,3.575626760721207e-05,1
1784014259.2272978,2026-07-14T07:30:59.227298+00:00,6,0,0,5,81920,60.03,31,38.050907135009766,0.0,3.575626760721207e-05,1
